,,,Bye,GP,Made FG,Miss FG,40-49 FG,50+ FG,Made XP,Miss XP
Dan Bailey,DAL,PK,6,0,26.7,0.0,0.0,0.0,45.5,0.0
Josh Brown,NYG,PK,11,0,25.1,0.0,0.0,0.0,42.7,0.0
Matt Bryant,ATL,PK,10,0,26.9,0.0,0.0,0.0,40.0,0.0
Randy Bullock,HOU,PK,9,0,25.8,0.0,0.0,0.0,33.4,0.0
Dan Carpenter,BUF,PK,8,0,27.8,0.0,0.0,0.0,32.7,0.0
Chandler Catanzaro,ARI,PK,9,0,26.9,0.0,0.0,0.0,36.4,0.0
Travis Coons,CLE,PK,11,0,18.3,0.0,0.0,0.0,24.0,0.0
Mason Crosby,GB,PK,7,0,27.5,0.0,0.0,0.0,49.2,0.0
Phil Dawson,SF,PK,10,0,26.2,0.0,0.0,0.0,34.8,0.0
Nick Folk,NYJ,PK,5,0,23.9,0.0,0.0,0.0,35.7,0.0
Kai Forbath,WAS,PK,8,0,24.0,0.0,0.0,0.0,32.8,0.0
Graham Gano,CAR,PK,5,0,24.8,0.0,0.0,0.0,36.9,0.0
Stephen Gostkowski,NE,PK,4,0,29.9,0.0,0.0,0.0,45.3,0.0
Robbie Gould,CHI,PK,7,0,23.2,0.0,0.0,0.0,38.4,0.0
Steve Hauschka,SEA,PK,9,0,28.8,0.0,0.0,0.0,44.2,0.0
Dustin Hopkins,NO,PK,11,0,21.5,0.0,0.0,0.0,40.9,0.0
Sebastian Janikowski,OAK,PK,6,0,23.2,0.0,0.0,0.0,32.0,0.0
Brandon McManus,DEN,PK,7,0,25.4,0.0,0.0,0.0,47.5,0.0
Patrick Murray,TB,PK,6,0,4.8,0.0,0.0,0.0,6.8,0.0
Jason Myers,JAX,PK,8,0,23.1,0.0,0.0,0.0,32.3,0.0
Nick Novak,SD,PK,10,0,26.1,0.0,0.0,0.0,41.0,0.0
Mike Nugent,CIN,PK,7,0,24.6,0.0,0.0,0.0,39.0,0.0
Cody Parkey,PHI,PK,8,0,27.3,0.0,0.0,0.0,42.7,0.0
Matt Prater,DET,PK,9,0,26.9,0.0,0.0,0.0,39.3,0.0
Cairo Santos,KC,PK,9,0,24.7,0.0,0.0,0.0,36.7,0.0
Josh Scobee,PIT,PK,11,0,25.7,0.0,0.0,0.0,44.5,0.0
Caleb Sturgis,MIA,PK,5,0,26.0,0.0,0.0,0.0,40.2,0.0
Ryan Succop,TEN,PK,4,0,22.1,0.0,0.0,0.0,29.5,0.0
Justin Tucker,BAL,PK,9,0,29.0,0.0,0.0,0.0,38.4,0.0
Adam Vinatieri,IND,PK,10,0,29.2,0.0,0.0,0.0,48.1,0.0
Blair Walsh,MIN,PK,5,0,25.3,0.0,0.0,0.0,40.2,0.0
Greg Zuerlein,STL,PK,6,0,24.6,0.0,0.0,0.0,36.4,0.0
